"网络类型","授权方向","授权策略","IP协议","端口范围","优先级","源IP地址段","源IPv6地址段","源安全组","源端安全组名称","源安全组所属阿里云账户ID","源端端口范围","目标IP地址段","目的IPv6地址段","目标安全组","目的端安全组名称","目标安全组所属阿里云账户ID","描述信息","创建时间（UTC）","",""
"intranet","ingress","Accept","TCP","1935/1935","1","0.0.0.0/0","","","","","","","","","","","rtmp","2021-07-02T09:56:37Z","",""
"intranet","ingress","Accept","TCP","995/995","1","0.0.0.0/0","","","","","","","","","","","pop3s","2021-02-09T04:23:07Z","",""
"intranet","ingress","Accept","TCP","993/993","1","0.0.0.0/0","","","","","","","","","","","imaps","2021-02-09T04:22:52Z","",""
"intranet","ingress","Accept","TCP","587/587","1","0.0.0.0/0","","","","","","","","","","","submission","2021-02-09T04:22:29Z","",""
"intranet","ingress","Accept","TCP","465/465","1","0.0.0.0/0","","","","","","","","","","","ssmtp","2021-02-09T04:21:43Z","",""
"intranet","ingress","Accept","TCP","143/143","1","0.0.0.0/0","","","","","","","","","","","imap2","2021-02-09T04:21:16Z","",""
"intranet","ingress","Accept","TCP","110/110","1","0.0.0.0/0","","","","","","","","","","","pop3","2021-02-09T04:20:50Z","",""
"intranet","ingress","Accept","TCP","25/25","1","0.0.0.0/0","","","","","","","","","","","smtp","2021-02-09T04:20:28Z","",""
"intranet","ingress","Accept","TCP","3306/3306","1","0.0.0.0/0","","","","","","","","","","","MySQL","2021-02-09T01:06:16Z","",""
"intranet","ingress","Accept","TCP","443/443","1","0.0.0.0/0","","","","","","","","","","","http安全连接","2020-12-31T05:04:19Z","",""
"intranet","ingress","Accept","TCP","80/80","1","0.0.0.0/0","","","","","","","","","","","http网站访问","2020-09-16T09:45:05Z","",""
"intranet","ingress","Accept","TCP","22/22","100","0.0.0.0/0","","","","","","","","","","","System created rule.","2020-09-16T05:36:53Z","",""
"intranet","ingress","Accept","ICMP","-1/-1","100","0.0.0.0/0","","","","","-1/-1","","","","","","System created rule.","2020-09-16T05:36:53Z","",""
"intranet","ingress","Accept","TCP","3389/3389","100","0.0.0.0/0","","","","","","","","","","","System created rule.","2020-09-16T05:36:52Z","",""
